Frequency,Power
2.11e+09,1.130061
2.1122e+09,1.192097
2.1144e+09,1.20284
2.1166e+09,1.148575
2.1188e+09,1.222192
2.121e+09,1.225146
2.1232e+09,1.227547
2.1254e+09,1.234798
2.1276e+09,1.232397
2.1298e+09,1.244214
2.132e+09,1.284262
2.1342e+09,1.302255
2.1364e+09,1.348715
2.1386e+09,1.372885
2.1408e+09,1.423659
2.143e+09,1.447056
2.1452e+09,1.429298
2.1474e+09,1.423911
2.1496e+09,1.365366
2.1518e+09,1.296884
2.154e+09,1.281039
2.1562e+09,1.252287
2.1584e+09,1.226204
2.1606e+09,1.227547
2.1628e+09,1.200423
2.165e+09,1.217879
2.1672e+09,1.215193
2.1694e+09,1.217879
2.1716e+09,1.223535
2.1738e+09,1.21197
2.176e+09,1.252304
2.1782e+09,1.270834
2.1804e+09,1.332602
2.1826e+09,1.393564
2.1848e+09,1.406992
2.187e+09,1.404843
2.1892e+09,1.448651
2.1914e+09,1.442743
2.1936e+09,1.434938
2.1958e+09,1.416676
2.198e+09,1.353281
2.2002e+09,1.306284
2.2024e+09,1.277817
2.2046e+09,1.277817
2.2068e+09,1.240454
2.209e+09,1.222176
2.2112e+09,1.205794
2.2134e+09,1.194783
2.2156e+09,1.181624
2.2178e+09,1.169002
2.22e+09,1.181624
2.2222e+09,1.183772
2.2244e+09,1.170076
2.2266e+09,1.193172
2.2288e+09,1.198543
2.231e+09,1.199617
2.2332e+09,1.212508
2.2354e+09,1.212508
2.2376e+09,1.253647
2.2398e+09,1.266
2.242e+09,1.313535
2.2442e+09,1.313266
2.2464e+09,1.327499
2.2486e+09,1.380673
2.2508e+09,1.392758
2.253e+09,1.414511
2.2552e+09,1.446234
2.2574e+09,1.433595
2.2596e+09,1.428493
2.2618e+09,1.420151
2.264e+09,1.415317
2.2662e+09,1.349521
2.2684e+09,1.31058
2.2706e+09,1.298495
2.2728e+09,1.268686
2.275e+09,1.241528
2.2772e+09,1.238306
2.2794e+09,1.211702
2.2816e+09,1.198274
2.2838e+09,1.188875
2.286e+09,1.177058
2.2882e+09,1.177595
2.2904e+09,1.1545
2.2926e+09,1.149934
2.2948e+09,1.155843
2.297e+09,1.147786
2.2992e+09,1.153426
2.3014e+09,1.144563
2.3036e+09,1.156917
2.3058e+09,1.157722
2.308e+09,1.161751
2.3102e+09,1.157722
2.3124e+09,1.190486
2.3146e+09,1.185921
2.3168e+09,1.208748
2.319e+09,1.216267
2.3212e+09,1.23374
2.3234e+09,1.245556
2.3256e+09,1.27352
2.3278e+09,1.281577
2.33e+09,1.321591
2.3322e+09,1.354355
2.3344e+09,1.376376
2.3366e+09,1.38873
2.3388e+09,1.413437
2.341e+09,1.418271
2.3432e+09,1.437624
2.3454e+09,1.404306
2.3476e+09,1.387656
2.3498e+09,1.345224
2.352e+09,1.324277
2.3542e+09,1.295273
2.3564e+09,1.274325
2.3586e+09,1.265732
2.3608e+09,1.22137
2.363e+09,1.214656
2.3652e+09,1.198006
2.3674e+09,1.175984
2.3696e+09,1.162825
2.3718e+09,1.155037
2.374e+09,1.133821
2.3762e+09,1.133016
2.3784e+09,1.129793
2.3806e+09,1.107771
2.3828e+09,1.113411
2.385e+09,1.089241
2.3872e+09,1.110994
2.3894e+09,1.113142
2.3916e+09,1.113948
2.3938e+09,1.10992
2.396e+09,1.126302
2.3982e+09,1.139729
2.4004e+09,1.145906
2.4026e+09,1.168196
2.4048e+09,1.175716
2.407e+09,1.174104
2.4092e+09,1.207137
2.4114e+09,1.217073
2.4136e+09,1.234529
2.4158e+09,1.239934
2.418e+09,1.260898
2.4202e+09,1.310312
2.4224e+09,1.349252
2.4246e+09,1.371274
2.4268e+09,1.379062
2.429e+09,1.415585
2.4312e+09,1.387656
2.4334e+09,1.36644
2.4356e+09,1.356772
2.4378e+09,1.320786
2.44e+09,1.273251
2.4422e+09,1.241277
2.4444e+09,1.240471
2.4466e+09,1.207942
2.4488e+09,1.191292
2.451e+09,1.175178
2.4532e+09,1.148592
2.4554e+09,1.141341
2.4576e+09,1.113679
2.4598e+09,1.099983
2.462e+09,1.105891
2.4642e+09,1.103206
2.4664e+09,1.081453
2.4686e+09,1.08011
2.4708e+09,1.097298
2.473e+09,1.086555
2.4752e+09,1.088167
2.4774e+09,1.100789
2.4796e+09,1.112068
2.4818e+09,1.118513
2.484e+09,1.139192
2.4862e+09,1.152083
2.4884e+09,1.167659
2.4906e+09,1.211165
2.4928e+09,1.224593
2.495e+09,1.252287
2.4972e+09,1.291245
2.4994e+09,1.342538
2.5016e+09,1.358652
2.5038e+09,1.382553
2.506e+09,1.376645
2.5082e+09,1.34227
2.5104e+09,1.29205
2.5126e+09,1.255241
2.5148e+09,1.21385
2.517e+09,1.168465
2.5192e+09,1.123079
2.5214e+09,1.110457
2.5236e+09,1.083064
2.5258e+09,1.071516
2.528e+09,1.060237
2.5302e+09,1.056209
2.5324e+09,1.050569
2.5346e+09,1.069368
2.5368e+09,1.073128
2.539e+09,1.099177
2.5412e+09,1.109383
2.5434e+09,1.10428
2.5456e+09,1.107234
2.5478e+09,1.104012
