Frequency,Power
2.11e+09,0.3719986
2.1122e+09,0.3768326
2.1144e+09,0.378981
2.1166e+09,0.3722671
2.1188e+09,0.3762955
2.121e+09,0.3822037
2.1232e+09,0.3725357
2.1254e+09,0.3725357
2.1276e+09,0.3690445
2.1298e+09,0.3752213
2.132e+09,0.3738785
2.1342e+09,0.3717301
2.1364e+09,0.3725357
2.1386e+09,0.3752213
2.1408e+09,0.3711929
2.143e+09,0.3685074
2.1452e+09,0.3776382
2.1474e+09,0.3709244
2.1496e+09,0.3722671
2.1518e+09,0.3698502
2.154e+09,0.374147
2.1562e+09,0.3722672
2.1584e+09,0.3795181
2.1606e+09,0.3744155
2.1628e+09,0.366896
2.165e+09,0.3779068
2.1672e+09,0.3760269
2.1694e+09,0.3776382
2.1716e+09,0.3808609
2.1738e+09,0.3768326
2.176e+09,0.3784439
2.1782e+09,0.3749527
2.1804e+09,0.378981
2.1826e+09,0.3738785
2.1848e+09,0.376564
2.187e+09,0.3730728
2.1892e+09,0.3709244
2.1914e+09,0.3698502
2.1936e+09,0.3717301
2.1958e+09,0.3746841
2.198e+09,0.3757584
2.2002e+09,0.3722672
2.2024e+09,0.3754898
2.2046e+09,0.3674332
2.2068e+09,0.3711929
2.209e+09,0.3682388
2.2112e+09,0.369313
2.2134e+09,0.3738785
2.2156e+09,0.3709244
2.2178e+09,0.3730728
2.22e+09,0.37173
2.2222e+09,0.3736099
2.2244e+09,0.3733413
2.2266e+09,0.374147
2.2288e+09,0.3722672
2.231e+09,0.3666275
2.2332e+09,0.376564
2.2354e+09,0.3690444
2.2376e+09,0.369313
2.2398e+09,0.3722672
2.242e+09,0.3690445
2.2442e+09,0.3706558
2.2464e+09,0.3698502
2.2486e+09,0.3730728
2.2508e+09,0.3733413
2.253e+09,0.3730728
2.2552e+09,0.3752213
2.2574e+09,0.3668961
2.2596e+09,0.3711929
2.2618e+09,0.37173
2.264e+09,0.3760269
2.2662e+09,0.374147
2.2684e+09,0.3728043
2.2706e+09,0.3760269
2.2728e+09,0.3668961
2.275e+09,0.3695816
2.2772e+09,0.3738785
2.2794e+09,0.3725357
2.2816e+09,0.3711929
2.2838e+09,0.3725357
2.286e+09,0.3677017
2.2882e+09,0.3701187
2.2904e+09,0.3722672
2.2926e+09,0.374147
2.2948e+09,0.3698502
2.297e+09,0.3703872
2.2992e+09,0.3687759
2.3014e+09,0.3674332
2.3036e+09,0.3728043
2.3058e+09,0.3663589
2.308e+09,0.366359
2.3102e+09,0.3717301
2.3124e+09,0.3800552
2.3146e+09,0.6551223
2.3168e+09,0.8391495
2.319e+09,0.5713333
2.3212e+09,0.4208923
2.3234e+09,0.3916031
2.3256e+09,0.4055847
2.3278e+09,0.4192978
2.33e+09,0.4399933
2.3322e+09,0.4316681
2.3344e+09,0.4319366
2.3366e+09,0.4128524
2.3388e+09,0.4109558
2.341e+09,0.4010025
2.3432e+09,0.388649
2.3454e+09,0.3832779
2.3476e+09,0.3797867
2.3498e+09,0.378981
2.352e+09,0.3754898
2.3542e+09,0.3800552
2.3564e+09,0.3730728
2.3586e+09,0.3781754
2.3608e+09,0.3733413
2.363e+09,0.3717301
2.3652e+09,0.3722672
2.3674e+09,0.3703872
2.3696e+09,0.3736099
2.3718e+09,0.3733413
2.374e+09,0.3773697
2.3762e+09,0.37173
2.3784e+09,0.3714615
2.3806e+09,0.3728043
2.3828e+09,0.3679703
2.385e+09,0.3685074
2.3872e+09,0.3709244
2.3894e+09,0.3677017
2.3916e+09,0.3728043
2.3938e+09,0.366359
2.396e+09,0.369313
2.3982e+09,0.3682388
2.4004e+09,0.3736099
2.4026e+09,0.3714615
2.4048e+09,0.3717301
2.407e+09,0.3639419
2.4092e+09,0.366359
2.4114e+09,0.3701187
2.4136e+09,0.3730728
2.4158e+09,0.3725357
2.418e+09,0.3714615
2.4202e+09,0.3685074
2.4224e+09,0.3695816
2.4246e+09,0.3746841
2.4268e+09,0.3719986
2.429e+09,0.3714615
2.4312e+09,0.3714615
2.4334e+09,0.3685074
2.4356e+09,0.3730728
2.4378e+09,0.3714615
2.44e+09,0.3733413
2.4422e+09,0.3730728
2.4444e+09,0.3736099
2.4466e+09,0.3744156
2.4488e+09,0.3749527
2.451e+09,0.3773697
2.4532e+09,0.3722672
2.4554e+09,0.3762955
2.4576e+09,0.3816665
2.4598e+09,0.3889175
2.462e+09,0.4010025
2.4642e+09,0.4114929
2.4664e+09,0.4281769
2.4686e+09,0.4453644
2.4708e+09,0.4566437
2.473e+09,0.4773224
2.4752e+09,0.4848419
2.4774e+09,0.4848419
2.4796e+09,0.4918243
2.4818e+09,0.5125031
2.484e+09,0.5331817
2.4862e+09,0.5879669
2.4884e+09,0.6591675
2.4906e+09,0.7625778
2.4928e+09,0.9476455
2.495e+09,1.144563
2.4972e+09,0.976683
2.4994e+09,0.7988495
2.5016e+09,0.7145066
2.5038e+09,0.6594528
2.506e+09,0.63582
2.5082e+09,0.6212845
2.5104e+09,0.5817902
2.5126e+09,0.5364044
2.5148e+09,0.4735626
2.517e+09,0.4260284
2.5192e+09,0.4063903
2.5214e+09,0.3993912
2.5236e+09,0.3905289
2.5258e+09,0.3854263
2.528e+09,0.376564
2.5302e+09,0.3787124
2.5324e+09,0.3800552
2.5346e+09,0.3795181
2.5368e+09,0.3744156
2.539e+09,0.376564
2.5412e+09,0.3744155
2.5434e+09,0.374147
2.5456e+09,0.3776382
2.5478e+09,0.3725357
