Frequency,Power
2.4e+09,0.3787124
2.4011e+09,0.3706558
2.4022e+09,0.3634048
2.4033e+09,0.3642105
2.4044e+09,0.3706558
2.4055e+09,0.3642105
2.4066e+09,0.3674332
2.4077e+09,0.3730728
2.4088e+09,0.3698502
2.4099e+09,0.3634048
2.411e+09,0.3674332
2.4121e+09,0.3754898
2.4132e+09,0.3787124
2.4143e+09,0.3642105
2.4154e+09,0.3714615
2.4165e+09,0.3650162
2.4176e+09,0.3738785
2.4187e+09,0.3714615
2.4198e+09,0.3690445
2.4209e+09,0.3771011
2.422e+09,0.3771011
2.4231e+09,0.3674332
2.4242e+09,0.3650162
2.4253e+09,0.3738785
2.4264e+09,0.3787124
2.4275e+09,0.3706558
2.4286e+09,0.3674332
2.4297e+09,0.3762955
2.4308e+09,0.3803238
2.4319e+09,0.3730728
2.433e+09,0.3706558
2.4341e+09,0.3658218
2.4352e+09,0.3746841
2.4363e+09,0.3722672
2.4374e+09,0.3690445
2.4385e+09,0.3682388
2.4396e+09,0.3714615
2.4407e+09,0.3738785
2.4418e+09,0.3875748
2.4429e+09,0.3746841
2.444e+09,0.3754898
2.4451e+09,0.3924088
2.4462e+09,0.3875748
2.4473e+09,0.3835464
2.4484e+09,0.3972427
2.4495e+09,0.4093277
2.4506e+09,0.4117447
2.4517e+09,0.4077164
2.4528e+09,0.4222687
2.4539e+09,0.433548
2.455e+09,0.4464386
2.4561e+09,0.4649689
2.4572e+09,0.4746368
2.4583e+09,0.51492
2.4594e+09,0.5471466
2.4605e+09,0.5576202
2.4616e+09,0.5576202
2.4627e+09,0.5890411
2.4638e+09,0.6107941
2.4649e+09,0.630986
2.466e+09,0.638237
2.4671e+09,0.6583786
2.4682e+09,0.6817429
2.4693e+09,0.7051071
2.4704e+09,0.7099411
2.4715e+09,0.7421677
2.4726e+09,0.7470016
2.4737e+09,0.7059128
2.4748e+09,0.712358
2.4759e+09,0.6728806
2.477e+09,0.6172394
2.4781e+09,0.5753448
2.4792e+09,0.5165314
2.4803e+09,0.4834991
2.4814e+09,0.4553009
2.4825e+09,0.428714
2.4836e+09,0.4117447
2.4847e+09,0.406105
2.4858e+09,0.403688
2.4869e+09,0.4012711
2.488e+09,0.3932144
2.4891e+09,0.3956314
2.4902e+09,0.3875748
2.4913e+09,0.3835464
2.4924e+09,0.3891861
2.4935e+09,0.3843521
2.4946e+09,0.3746841
2.4957e+09,0.3746841
2.4968e+09,0.3738785
2.4979e+09,0.3843521
2.499e+09,0.3835464
2.5001e+09,0.3722672
