Frequency,Power
2.4e+09,0.3698502
2.4011e+09,0.3728043
2.4022e+09,0.3746841
2.4033e+09,0.3725357
2.4044e+09,0.3695816
2.4055e+09,0.3706558
2.4066e+09,0.3736099
2.4077e+09,0.3773697
2.4088e+09,0.3706558
2.4099e+09,0.3757583
2.411e+09,0.3722671
2.4121e+09,0.374147
2.4132e+09,0.3733413
2.4143e+09,0.3677017
2.4154e+09,0.3706558
2.4165e+09,0.3714615
2.4176e+09,0.374147
2.4187e+09,0.3714615
2.4198e+09,0.369313
2.4209e+09,0.3733413
2.422e+09,0.3768326
2.4231e+09,0.376564
2.4242e+09,0.3773697
2.4253e+09,0.3738785
2.4264e+09,0.3733413
2.4275e+09,0.3728043
2.4286e+09,0.3717301
2.4297e+09,0.3760269
2.4308e+09,0.3728043
2.4319e+09,0.3762955
2.433e+09,0.3725357
2.4341e+09,0.3762954
2.4352e+09,0.3754898
2.4363e+09,0.3784439
2.4374e+09,0.3781754
2.4385e+09,0.3752213
2.4396e+09,0.3800552
2.4407e+09,0.3792496
2.4418e+09,0.3762954
2.4429e+09,0.3797866
2.444e+09,0.3878433
2.4451e+09,0.3918716
2.4462e+09,0.3913345
2.4473e+09,0.3937515
2.4484e+09,0.3996597
2.4495e+09,0.4077332
2.4506e+09,0.4117447
2.4517e+09,0.415538
2.4528e+09,0.4343536
2.4539e+09,0.4555694
2.455e+09,0.4601349
2.4561e+09,0.4834991
2.4572e+09,0.5087432
2.4583e+09,0.5385528
2.4594e+09,0.5608428
2.4605e+09,0.571048
2.4616e+09,0.5844757
2.4627e+09,0.6119018
2.4638e+09,0.6352828
2.4649e+09,0.6449509
2.466e+09,0.6497848
2.4671e+09,0.6720748
2.4682e+09,0.6903367
2.4693e+09,0.7155807
2.4704e+09,0.7322311
2.4715e+09,0.7384079
2.4726e+09,0.7381393
2.4737e+09,0.7279343
2.4748e+09,0.697319
2.4759e+09,0.6457565
2.477e+09,0.5949661
2.4781e+09,0.5398956
2.4792e+09,0.5009552
2.4803e+09,0.4620148
2.4814e+09,0.4421417
2.4825e+09,0.4252228
2.4836e+09,0.4120468
2.4847e+09,0.4093277
2.4858e+09,0.4039566
2.4869e+09,0.3972427
2.488e+09,0.3972428
2.4891e+09,0.3873062
2.4902e+09,0.3883804
2.4913e+09,0.3867691
2.4924e+09,0.3859634
2.4935e+09,0.3830093
2.4946e+09,0.3803238
2.4957e+09,0.3835464
2.4968e+09,0.3808609
2.4979e+09,0.3792496
2.499e+09,0.3768326
2.5001e+09,0.3736099
2.5012e+09,0.3760269
2.5023e+09,0.3816666
2.5034e+09,0.3762955
2.5045e+09,0.3776382
2.5056e+09,0.3760269
2.5067e+09,0.3733413
2.5078e+09,0.3749527
2.5089e+09,0.378981
2.51e+09,0.3822037
2.5111e+09,0.3771012
2.5122e+09,0.381398
2.5133e+09,0.3827408
2.5144e+09,0.3870376
2.5155e+09,0.3848892
2.5166e+09,0.3967056
2.5177e+09,0.3945571
2.5188e+09,0.3991226
2.5199e+09,0.4058365
2.521e+09,0.4001968
2.5221e+09,0.3950943
2.5232e+09,0.3902603
2.5243e+09,0.389186
2.5254e+09,0.3797866
2.5265e+09,0.3816665
2.5276e+09,0.3797867
2.5287e+09,0.3768326
2.5298e+09,0.3784439
2.5309e+09,0.3846207
2.532e+09,0.3768326
2.5331e+09,0.3746841
2.5342e+09,0.3717301
2.5353e+09,0.3803238
2.5364e+09,0.3795181
2.5375e+09,0.3768326
