Frequency,Power
2.25e+09,0.3625992
2.253e+09,0.3875748
2.256e+09,0.3771011
2.259e+09,0.3762955
2.262e+09,0.3714615
2.265e+09,0.3642105
2.268e+09,0.3698502
2.271e+09,0.3674332
2.274e+09,0.3730728
2.277e+09,0.3795181
2.28e+09,0.3609879
2.283e+09,0.3851578
2.286e+09,0.3859634
2.289e+09,0.3803238
2.292e+09,0.3827408
2.295e+09,0.3843521
2.298e+09,0.3843521
2.301e+09,0.3714615
2.304e+09,0.3827408
2.307e+09,0.3891861
2.31e+09,0.398854
2.313e+09,0.3819351
2.316e+09,0.3803238
2.319e+09,0.3835464
2.322e+09,0.3819351
2.325e+09,0.3730728
2.328e+09,0.3827408
2.331e+09,0.3690445
2.334e+09,0.3561539
2.337e+09,0.3698502
2.34e+09,0.3682388
2.343e+09,0.3730728
2.346e+09,0.3746841
2.349e+09,0.3634048
2.352e+09,0.3650162
2.355e+09,0.3617935
2.358e+09,0.3529312
2.361e+09,0.3682388
2.364e+09,0.3682388
2.367e+09,0.3601822
2.37e+09,0.3698502
2.373e+09,0.3634048
2.376e+09,0.3690445
2.379e+09,0.3545425
2.382e+09,0.3513199
2.385e+09,0.3577652
2.388e+09,0.3521255
2.391e+09,0.3771011
2.394e+09,0.3521255
2.397e+09,0.3658218
2.4e+09,0.3771011
2.403e+09,0.3658218
2.406e+09,0.3569595
2.409e+09,0.3738785
2.412e+09,0.3706558
2.415e+09,0.3811295
2.418e+09,0.3795181
2.421e+09,0.3738785
2.424e+09,0.3803238
2.427e+09,0.3859634
2.43e+09,0.3859634
2.433e+09,0.3940201
2.436e+09,0.4117447
2.439e+09,0.4150177
2.442e+09,0.4601349
2.445e+09,0.4480499
2.448e+09,0.4601349
2.451e+09,0.4843048
2.454e+09,0.3779068
2.457e+09,0.4117447
2.46e+09,0.4117447
2.463e+09,0.3722672
2.466e+09,0.3779068
2.469e+09,0.3811295
2.472e+09,0.3827408
2.475e+09,0.3819351
2.478e+09,0.3827408
2.481e+09,0.3859634
2.484e+09,0.3972427
2.487e+09,0.3956314
2.49e+09,0.4279083
2.493e+09,0.4391876
2.496e+09,0.4375763
2.499e+09,0.426297
2.502e+09,0.4424103
2.505e+09,0.414212
2.508e+09,0.4117447
2.511e+09,0.4117447
2.514e+09,0.4327423
2.517e+09,0.4117447
2.52e+09,0.4117447
2.523e+09,0.4182404
2.526e+09,0.4117447
2.529e+09,0.403688
2.532e+09,0.416629
2.535e+09,0.4117447
2.538e+09,0.4206573
2.541e+09,0.4101334
2.544e+09,0.421463
2.547e+09,0.42388
