Frequency,Power
2.11e+09,0.3715824
2.111e+09,0.3705752
2.112e+09,0.3722269
2.113e+09,0.3721866
2.114e+09,0.3717838
2.115e+09,0.372106
2.116e+09,0.3768191
2.117e+09,0.3756509
2.118e+09,0.3765372
2.119e+09,0.377504
2.12e+09,0.3783902
2.121e+09,0.3759732
2.122e+09,0.3759329
2.123e+09,0.3743618
2.124e+09,0.3775442
2.125e+09,0.3713003
2.126e+09,0.3797598
2.127e+09,0.3747244
2.128e+09,0.3713003
2.129e+09,0.3773831
2.13e+09,0.3780277
2.131e+09,0.3810892
2.132e+09,0.3738382
2.133e+09,0.3762149
2.134e+09,0.3771012
2.135e+09,0.3743619
2.136e+09,0.3767789
2.137e+09,0.3720255
2.138e+09,0.3722671
2.139e+09,0.3783097
2.14e+09,0.376376
2.141e+09,0.3770608
2.142e+09,0.3737173
2.143e+09,0.3723073
2.144e+09,0.3748452
2.145e+09,0.3742007
2.146e+09,0.3723074
2.147e+09,0.3704947
2.148e+09,0.3763358
2.149e+09,0.3729519
2.15e+09,0.3783096
2.151e+09,0.3733145
2.152e+09,0.3719449
2.153e+09,0.3705752
2.154e+09,0.3690848
2.155e+09,0.3736771
2.156e+09,0.3714614
2.157e+09,0.3721865
2.158e+09,0.3676346
2.159e+09,0.3728714
2.16e+09,0.372952
2.161e+09,0.3727103
2.162e+09,0.3744827
2.163e+09,0.372388
2.164e+09,0.3700113
2.165e+09,0.3725894
2.166e+09,0.3737174
2.167e+09,0.3670303
2.168e+09,0.3693668
2.169e+09,0.3701725
2.17e+09,0.3682791
2.171e+09,0.3738382
2.172e+09,0.3717031
2.173e+09,0.3679971
2.174e+09,0.3749661
2.175e+09,0.371824
2.176e+09,0.3692057
2.177e+09,0.3681582
2.178e+09,0.3712601
2.179e+09,0.369246
2.18e+09,0.3713004
2.181e+09,0.3728311
2.182e+09,0.367836
2.183e+09,0.3697696
2.184e+09,0.3721463
2.185e+09,0.3684403
2.186e+09,0.3739188
2.187e+09,0.3674735
2.188e+09,0.367272
2.189e+09,0.3673929
2.19e+09,0.3704947
2.191e+09,0.3700516
2.192e+09,0.381492
2.193e+09,0.3749258
2.194e+09,0.3688431
2.195e+09,0.3704544
2.196e+09,0.3719046
2.197e+09,0.3683194
2.198e+09,0.3710989
2.199e+09,0.3717032
2.2e+09,0.3746841
2.201e+09,0.3710989
2.202e+09,0.3731937
2.203e+09,0.3665469
2.204e+09,0.3706155
2.205e+09,0.3657815
2.206e+09,0.3730728
2.207e+09,0.3699307
2.208e+09,0.3751273
2.209e+09,0.3709781
2.21e+09,0.3723477
2.211e+09,0.3754495
2.212e+09,0.3744425
2.213e+09,0.3762552
2.214e+09,0.3735965
2.215e+09,0.3739993
2.216e+09,0.3720657
2.217e+09,0.3721866
2.218e+09,0.371824
2.219e+09,0.3725491
2.22e+09,0.3702933
2.221e+09,0.3752883
2.222e+09,0.3696084
2.223e+09,0.3715823
2.224e+09,0.3728311
2.225e+09,0.3727103
2.226e+09,0.3720658
2.227e+09,0.3727909
2.228e+09,0.3695682
2.229e+09,0.3729117
2.23e+09,0.3729923
2.231e+09,0.3693264
2.232e+09,0.3724283
2.233e+09,0.3710989
2.234e+09,0.3699307
2.235e+09,0.3735965
2.236e+09,0.3717032
2.237e+09,0.3719046
2.238e+09,0.373234
2.239e+09,0.3759329
2.24e+09,0.371824
2.241e+09,0.3728311
2.242e+09,0.3717838
2.243e+09,0.3712198
2.244e+09,0.3726297
2.245e+09,0.3763358
2.246e+09,0.3713407
2.247e+09,0.3727103
2.248e+09,0.3716629
2.249e+09,0.3702127
2.25e+09,0.3690848
2.251e+09,0.3716226
2.252e+09,0.3752884
2.253e+09,0.375087
2.254e+09,0.3742812
2.255e+09,0.3726297
2.256e+09,0.3721463
2.257e+09,0.3736367
2.258e+09,0.3744021
2.259e+09,0.3737979
2.26e+09,0.3735562
2.261e+09,0.379075
2.262e+09,0.3690445
2.263e+09,0.3744021
2.264e+09,0.3747244
2.265e+09,0.3724283
2.266e+09,0.3746036
2.267e+09,0.3734756
2.268e+09,0.3735965
2.269e+09,0.375087
2.27e+09,0.3703336
2.271e+09,0.3754899
2.272e+09,0.3728714
2.273e+09,0.369407
2.274e+09,0.3753287
2.275e+09,0.373516
2.276e+09,0.3780679
2.277e+09,0.374241
2.278e+09,0.3760941
2.279e+09,0.3752481
2.28e+09,0.3717837
2.281e+09,0.3709781
2.282e+09,0.3715823
2.283e+09,0.3718643
2.284e+09,0.3760135
2.285e+09,0.3751273
2.286e+09,0.3758523
2.287e+09,0.3717838
2.288e+09,0.374241
2.289e+09,0.3747244
2.29e+09,0.369407
2.291e+09,0.3710184
2.292e+09,0.3760941
2.293e+09,0.3766983
2.294e+09,0.3768997
2.295e+09,0.3717434
2.296e+09,0.3742411
2.297e+09,0.3766983
2.298e+09,0.3692459
2.299e+09,0.3741202
2.3e+09,0.3757718
2.301e+09,0.3753287
2.302e+09,0.3690445
2.303e+09,0.3745633
2.304e+09,0.3741202
2.305e+09,0.3717032
2.306e+09,0.3752481
2.307e+09,0.3751675
2.308e+09,0.3767385
2.309e+09,0.3731534
2.31e+09,0.3744425
2.311e+09,0.3734354
2.312e+09,0.3738785
2.313e+09,0.3730728
2.314e+09,0.3808072
2.315e+09,0.3779471
2.316e+09,0.3756912
2.317e+09,0.3731937
2.318e+09,0.3758926
2.319e+09,0.3709378
2.32e+09,0.3721866
2.321e+09,0.3742008
2.322e+09,0.3709781
2.323e+09,0.3725089
2.324e+09,0.3730325
2.325e+09,0.379921
2.326e+09,0.3742411
2.327e+09,0.3710587
2.328e+09,0.3761343
2.329e+09,0.3741201
2.33e+09,0.3758926
2.331e+09,0.3758926
2.332e+09,0.3704947
2.333e+09,0.3737979
2.334e+09,0.3728714
2.335e+09,0.3771414
2.336e+09,0.3736771
2.337e+09,0.3752884
2.338e+09,0.3708572
2.339e+09,0.3723477
2.34e+09,0.3734756
2.341e+09,0.3763761
2.342e+09,0.3738785
2.343e+09,0.3788736
2.344e+09,0.3715017
2.345e+09,0.3725894
2.346e+09,0.3744021
2.347e+09,0.3738382
2.348e+09,0.3748452
2.349e+09,0.3728311
2.35e+09,0.3719851
2.351e+09,0.3722671
2.352e+09,0.3737576
2.353e+09,0.3743619
2.354e+09,0.3701725
2.355e+09,0.3735159
2.356e+09,0.3735965
2.357e+09,0.3719047
2.358e+09,0.3730728
2.359e+09,0.3713003
2.36e+09,0.3696084
2.361e+09,0.3743216
2.362e+09,0.3741605
2.363e+09,0.3777859
2.364e+09,0.3775846
2.365e+09,0.3692862
2.366e+09,0.3733145
2.367e+09,0.3743619
2.368e+09,0.3713809
2.369e+09,0.372106
2.37e+09,0.370253
2.371e+09,0.3759732
2.372e+09,0.3726297
2.373e+09,0.3708572
2.374e+09,0.3716629
2.375e+09,0.37694
2.376e+09,0.3714615
2.377e+09,0.3713003
2.378e+09,0.3718643
2.379e+09,0.374523
2.38e+09,0.3758121
2.381e+09,0.3760941
2.382e+09,0.3721866
2.383e+09,0.3762149
2.384e+09,0.3752884
2.385e+09,0.3799209
2.386e+09,0.3827005
2.387e+09,0.3835062
2.388e+09,0.3843521
2.389e+09,0.3855606
2.39e+09,0.3826199
2.391e+09,0.3872928
2.392e+09,0.3855606
2.393e+09,0.3840299
2.394e+09,0.3819754
2.395e+09,0.3875345
2.396e+09,0.3841104
2.397e+09,0.3822976
2.398e+09,0.3843521
2.399e+09,0.3866483
2.4e+09,0.3878568
2.401e+09,0.3850369
2.402e+09,0.3837076
2.403e+09,0.3816934
2.404e+09,0.3855606
2.405e+09,0.3846743
2.406e+09,0.3802432
2.407e+09,0.3808878
2.408e+09,0.3736771
2.409e+09,0.3756509
2.41e+09,0.3709781
2.411e+09,0.3700516
2.412e+09,0.3702127
2.413e+09,0.3754092
2.414e+09,0.3709378
2.415e+09,0.3674734
2.416e+09,0.3710587
2.417e+09,0.3714615
2.418e+09,0.3706961
2.419e+09,0.3719852
2.42e+09,0.3694876
2.421e+09,0.3685611
2.422e+09,0.3704544
2.423e+09,0.3687222
2.424e+09,0.3710587
2.425e+09,0.3700515
2.426e+09,0.3688833
2.427e+09,0.3725089
2.428e+09,0.3703738
2.429e+09,0.3706155
2.43e+09,0.3684
2.431e+09,0.3666677
2.432e+09,0.3735562
2.433e+09,0.3699307
2.434e+09,0.3713809
2.435e+09,0.3693667
2.436e+09,0.3726699
2.437e+09,0.3708573
2.438e+09,0.3732742
2.439e+09,0.367554
2.44e+09,0.3695279
2.441e+09,0.3700113
2.442e+09,0.3715017
2.443e+09,0.3713809
2.444e+09,0.3686417
2.445e+09,0.3704947
2.446e+09,0.3700114
2.447e+09,0.3704544
2.448e+09,0.370817
2.449e+09,0.3638883
2.45e+09,0.3729117
2.451e+09,0.371542
2.452e+09,0.3706961
2.453e+09,0.37267
2.454e+09,0.3710184
2.455e+09,0.374805
2.456e+09,0.3706961
2.457e+09,0.3667886
2.458e+09,0.3719046
2.459e+09,0.3685611
2.46e+09,0.3714614
2.461e+09,0.3690042
2.462e+09,0.3710587
2.463e+09,0.3679568
2.464e+09,0.3700919
2.465e+09,0.3744022
2.466e+09,0.3705752
2.467e+09,0.3698905
2.468e+09,0.3711795
2.469e+09,0.3714212
2.47e+09,0.3700516
2.471e+09,0.3704947
2.472e+09,0.3706155
2.473e+09,0.3693265
2.474e+09,0.366265
2.475e+09,0.37126
2.476e+09,0.3674735
2.477e+09,0.3735159
2.478e+09,0.3725089
2.479e+09,0.3690042
2.48e+09,0.3731534
2.481e+09,0.3705349
2.482e+09,0.3706155
2.483e+09,0.3706961
2.484e+09,0.3703738
2.485e+09,0.369689
2.486e+09,0.3739187
2.487e+09,0.3698502
2.488e+09,0.3705752
2.489e+09,0.3697696
2.49e+09,0.3706558
2.491e+09,0.369689
2.492e+09,0.3729519
2.493e+09,0.372952
2.494e+09,0.3701724
2.495e+09,0.3728311
2.496e+09,0.3713406
2.497e+09,0.3702127
2.498e+09,0.373234
2.499e+09,0.3722672
2.5e+09,0.3748049
2.501e+09,0.3710587
2.502e+09,0.3676749
2.503e+09,0.3715824
2.504e+09,0.3717838
2.505e+09,0.3695682
2.506e+09,0.3727506
2.507e+09,0.3682387
2.508e+09,0.3749258
2.509e+09,0.37126
2.51e+09,0.3681985
2.511e+09,0.3711795
2.512e+09,0.3713003
2.513e+09,0.3690848
2.514e+09,0.3690848
2.515e+09,0.3710184
2.516e+09,0.3696084
2.517e+09,0.3666275
2.518e+09,0.3687222
2.519e+09,0.3694474
2.52e+09,0.3688833
2.521e+09,0.3698502
2.522e+09,0.3714212
2.523e+09,0.3694473
2.524e+09,0.3727102
2.525e+09,0.3704947
2.526e+09,0.3688431
2.527e+09,0.3702127
2.528e+09,0.3740799
2.529e+09,0.3669095
2.53e+09,0.371542
2.531e+09,0.3720254
2.532e+09,0.3731131
2.533e+09,0.3730325
2.534e+09,0.3688833
2.535e+09,0.3717434
2.536e+09,0.3705753
2.537e+09,0.3754495
2.538e+09,0.3695279
2.539e+09,0.3709781
2.54e+09,0.3701322
2.541e+09,0.3738382
2.542e+09,0.3731131
2.543e+09,0.3724283
2.544e+09,0.3663052
2.545e+09,0.3729922
2.546e+09,0.3686014
2.547e+09,0.3678763
2.548e+09,0.3726297
2.549e+09,0.3656607
