Frequency,Power
2.11e+09,0.372952
2.111e+09,0.3747244
2.112e+09,0.3713004
2.113e+09,0.3711392
2.114e+09,0.375087
2.115e+09,0.3789139
2.116e+09,0.3797598
2.117e+09,0.3776651
2.118e+09,0.3767386
2.119e+09,0.3795584
2.12e+09,0.3805252
2.121e+09,0.3810086
2.122e+09,0.3767386
2.123e+09,0.3793973
2.124e+09,0.3771415
2.125e+09,0.3810489
2.126e+09,0.3807669
2.127e+09,0.3792765
2.128e+09,0.3746841
2.129e+09,0.3787528
2.13e+09,0.3763358
2.131e+09,0.3777457
2.132e+09,0.3749661
2.133e+09,0.3751676
2.134e+09,0.3766178
2.135e+09,0.3798001
2.136e+09,0.3784708
2.137e+09,0.3777859
2.138e+09,0.3767386
2.139e+09,0.3760538
2.14e+09,0.3760941
2.141e+09,0.3820157
2.142e+09,0.3787528
2.143e+09,0.3782694
2.144e+09,0.3771817
2.145e+09,0.37694
2.146e+09,0.3757718
2.147e+09,0.3764163
2.148e+09,0.3716227
2.149e+09,0.3743216
2.15e+09,0.3752884
2.151e+09,0.3717032
2.152e+09,0.3778262
2.153e+09,0.3772623
2.154e+09,0.3754496
2.155e+09,0.3784708
2.156e+09,0.375087
2.157e+09,0.375087
2.158e+09,0.3773026
2.159e+09,0.3783902
2.16e+09,0.3746036
2.161e+09,0.3746439
2.162e+09,0.3788736
2.163e+09,0.3811697
2.164e+09,0.3829825
2.165e+09,0.384191
2.166e+09,0.3785916
2.167e+09,0.3815323
2.168e+09,0.3789944
2.169e+09,0.3794376
2.17e+09,0.3761746
2.171e+09,0.3787124
2.172e+09,0.3735159
2.173e+09,0.3761746
2.174e+09,0.3682791
2.175e+09,0.3715421
2.176e+09,0.3695279
2.177e+09,0.3672721
2.178e+09,0.3660233
2.179e+09,0.3693265
2.18e+09,0.3702127
2.181e+09,0.3678763
2.182e+09,0.3688834
2.183e+09,0.3677957
2.184e+09,0.3714614
2.185e+09,0.3671109
2.186e+09,0.3686014
2.187e+09,0.3704544
2.188e+09,0.3668289
2.189e+09,0.3735562
2.19e+09,0.3657413
2.191e+09,0.3744827
2.192e+09,0.3695279
2.193e+09,0.3711392
2.194e+09,0.3692862
2.195e+09,0.3731131
2.196e+09,0.3632035
2.197e+09,0.3670303
2.198e+09,0.369971
2.199e+09,0.3734757
2.2e+09,0.3686014
2.201e+09,0.3705752
2.202e+09,0.3687222
2.203e+09,0.3679971
2.204e+09,0.3704947
2.205e+09,0.3668289
2.206e+09,0.3722672
2.207e+09,0.3673929
2.208e+09,0.3752481
2.209e+09,0.3727103
2.21e+09,0.3676346
2.211e+09,0.3707767
2.212e+09,0.3702127
2.213e+09,0.370535
2.214e+09,0.3683597
2.215e+09,0.3702933
2.216e+09,0.37267
2.217e+09,0.3709781
2.218e+09,0.3695279
2.219e+09,0.3695681
2.22e+09,0.3715018
2.221e+09,0.3719046
2.222e+09,0.3720657
2.223e+09,0.370253
2.224e+09,0.3733951
2.225e+09,0.3753287
2.226e+09,0.3673928
2.227e+09,0.3700516
2.228e+09,0.3731131
2.229e+09,0.3716629
2.23e+09,0.3748453
2.231e+09,0.3725089
2.232e+09,0.3776651
2.233e+09,0.3709781
2.234e+09,0.3719046
2.235e+09,0.3713406
2.236e+09,0.3736368
2.237e+09,0.3713004
2.238e+09,0.3729519
2.239e+09,0.3783097
2.24e+09,0.37267
2.241e+09,0.3761746
2.242e+09,0.3757315
2.243e+09,0.37835
2.244e+09,0.3732743
2.245e+09,0.3817337
2.246e+09,0.3777054
2.247e+09,0.3861246
2.248e+09,0.3846341
2.249e+09,0.3848355
2.25e+09,0.3846743
2.251e+09,0.3898709
2.252e+09,0.3893875
2.253e+09,0.3899918
2.254e+09,0.3901932
2.255e+09,0.3913211
2.256e+09,0.3946243
2.257e+09,0.3925296
2.258e+09,0.3929325
2.259e+09,0.3937784
2.26e+09,0.38975
2.261e+09,0.3963968
2.262e+09,0.3974442
2.263e+09,0.3913211
2.264e+09,0.3957925
2.265e+09,0.3872525
2.266e+09,0.3837881
2.267e+09,0.3848758
2.268e+09,0.3848355
2.269e+09,0.3818143
2.27e+09,0.378511
2.271e+09,0.3816934
2.272e+09,0.3767386
2.273e+09,0.378511
2.274e+09,0.3769804
2.275e+09,0.3769803
2.276e+09,0.3762552
2.277e+09,0.3726297
2.278e+09,0.3784305
2.279e+09,0.375933
2.28e+09,0.3734757
2.281e+09,0.372106
2.282e+09,0.3750467
2.283e+09,0.3728714
2.284e+09,0.3752078
2.285e+09,0.38121
2.286e+09,0.3708572
2.287e+09,0.3765371
2.288e+09,0.3787125
2.289e+09,0.371099
2.29e+09,0.3793167
2.291e+09,0.3764969
2.292e+09,0.3779068
2.293e+09,0.3812504
2.294e+09,0.374241
2.295e+09,0.3791556
2.296e+09,0.3746036
2.297e+09,0.3704544
2.298e+09,0.3752481
2.299e+09,0.3699307
2.3e+09,0.3683194
2.301e+09,0.3705349
2.302e+09,0.3732339
2.303e+09,0.3732742
2.304e+09,0.3715421
2.305e+09,0.3724686
2.306e+09,0.3737173
2.307e+09,0.3735965
2.308e+09,0.3712601
2.309e+09,0.3731131
2.31e+09,0.3731937
2.311e+09,0.3760538
2.312e+09,0.3739994
2.313e+09,0.3750467
2.314e+09,0.3711392
2.315e+09,0.3716629
2.316e+09,0.3715018
2.317e+09,0.3712601
2.318e+09,0.3714615
2.319e+09,0.375369
2.32e+09,0.3727103
2.321e+09,0.3708975
2.322e+09,0.3719046
