Frequency,Power
2.11e+09,0.3714615
2.1144e+09,0.3577652
2.1188e+09,0.3899918
2.1232e+09,0.3625992
2.1276e+09,0.3722672
2.132e+09,0.3924088
2.1364e+09,0.3851578
2.1408e+09,0.3883804
2.1452e+09,0.3634048
2.1496e+09,0.3690445
2.154e+09,0.3674332
2.1584e+09,0.3666275
2.1628e+09,0.3714615
2.1672e+09,0.3714615
2.1716e+09,0.3738785
2.176e+09,0.3674332
2.1804e+09,0.3730728
2.1848e+09,0.3650162
2.1892e+09,0.3738785
2.1936e+09,0.3795181
2.198e+09,0.3803238
2.2024e+09,0.3795181
2.2068e+09,0.3625992
2.2112e+09,0.3835464
2.2156e+09,0.3609879
2.22e+09,0.3569595
2.2244e+09,0.3787124
2.2288e+09,0.3746841
2.2332e+09,0.3585708
2.2376e+09,0.3609879
2.242e+09,0.3883804
2.2464e+09,0.3803238
2.2508e+09,0.3706558
2.2552e+09,0.3617935
2.2596e+09,0.3625992
2.264e+09,0.3811295
2.2684e+09,0.3609879
2.2728e+09,0.3617935
2.2772e+09,0.3666275
2.2816e+09,0.3787124
2.286e+09,0.3859634
2.2904e+09,0.3859634
2.2948e+09,0.3601822
2.2992e+09,0.3795181
2.3036e+09,0.3690445
2.308e+09,0.3843521
2.3124e+09,0.3609879
2.3168e+09,0.3674332
2.3212e+09,0.3698502
2.3256e+09,0.3577652
2.33e+09,0.3682388
2.3344e+09,0.3714615
2.3388e+09,0.3859634
2.3432e+09,0.3609879
2.3476e+09,0.3771011
2.352e+09,0.3601822
2.3564e+09,0.3754898
2.3608e+09,0.3698502
2.3652e+09,0.3827408
2.3696e+09,0.3585708
2.374e+09,0.3625992
2.3784e+09,0.3730728
2.3828e+09,0.3634048
2.3872e+09,0.3795181
2.3916e+09,0.3569595
2.396e+09,0.3746841
2.4004e+09,0.3601822
2.4048e+09,0.3738785
2.4092e+09,0.3682388
2.4136e+09,0.3771011
2.418e+09,0.3593765
2.4224e+09,0.3634048
2.4268e+09,0.3634048
2.4312e+09,0.3601822
2.4356e+09,0.3609879
2.44e+09,0.3609879
2.4444e+09,0.3601822
2.4488e+09,0.3754898
2.4532e+09,0.3617935
2.4576e+09,0.3746841
2.462e+09,0.3819351
2.4664e+09,0.3803238
2.4708e+09,0.3642105
2.4752e+09,0.4117447
2.4796e+09,0.398854
2.484e+09,0.4117447
2.4884e+09,0.9170471
2.4928e+09,0.6567673
2.4972e+09,0.524588
2.5016e+09,0.8832092
2.506e+09,0.741362
2.5104e+09,0.3811295
2.5148e+09,0.4093277
2.5192e+09,0.3698502
2.5236e+09,0.3738785
2.528e+09,0.3916031
2.5324e+09,0.3642105
2.5368e+09,0.3843521
2.5412e+09,0.3609879
2.5456e+09,0.3690445
