Frequency,Power
2.11e+09,0.3795181
2.1144e+09,0.3812906
2.1188e+09,0.3852383
2.1232e+09,0.3816128
2.1276e+09,0.3808877
2.132e+09,0.3741202
2.1364e+09,0.3773428
2.1408e+09,0.3827408
2.1452e+09,0.3776651
2.1496e+09,0.3734756
2.154e+09,0.3779068
2.1584e+09,0.3779068
2.1628e+09,0.3717032
2.1672e+09,0.3717838
2.1716e+09,0.364855
2.176e+09,0.3673526
2.1804e+09,0.3667081
2.1848e+09,0.3673526
2.1892e+09,0.370253
2.1936e+09,0.3689639
2.198e+09,0.3705752
2.2024e+09,0.371542
2.2068e+09,0.3746036
2.2112e+09,0.3698502
2.2156e+09,0.3703336
2.22e+09,0.3680777
2.2244e+09,0.3705752
2.2288e+09,0.3694473
2.2332e+09,0.3737173
2.2376e+09,0.3738785
2.242e+09,0.3696084
2.2464e+09,0.3704947
2.2508e+09,0.3776651
2.2552e+09,0.3729923
2.2596e+09,0.3750064
2.264e+09,0.3758926
2.2684e+09,0.3717032
2.2728e+09,0.3783096
2.2772e+09,0.373959
2.2816e+09,0.378229
2.286e+09,0.3801627
2.2904e+09,0.3807266
2.2948e+09,0.383627
2.2992e+09,0.3775845
2.3036e+09,0.3886221
2.308e+09,0.4079782
2.3124e+09,0.3910442
2.3168e+09,0.4101535
2.3212e+09,0.400556
2.3256e+09,0.3833047
2.33e+09,0.3895083
2.3344e+09,0.3843521
2.3388e+09,0.378793
2.3432e+09,0.3728311
2.3476e+09,0.3766177
2.352e+09,0.38121
2.3564e+09,0.3816934
2.3608e+09,0.3765371
2.3652e+09,0.3792764
2.3696e+09,0.3788736
2.374e+09,0.3767788
2.3784e+09,0.3821768
2.3828e+09,0.3734756
2.3872e+09,0.37267
2.3916e+09,0.3749259
2.396e+09,0.378793
2.4004e+09,0.3727506
2.4048e+09,0.3795987
2.4092e+09,0.3751676
2.4136e+09,0.3751676
2.418e+09,0.3724283
2.4224e+09,0.3714615
2.4268e+09,0.3705752
2.4312e+09,0.3728311
2.4356e+09,0.3699307
2.44e+09,0.3754898
2.4444e+09,0.3731534
2.4488e+09,0.3712198
2.4532e+09,0.3770205
2.4576e+09,0.3770206
2.462e+09,0.3742008
2.4664e+09,0.3727506
2.4708e+09,0.3834658
2.4752e+09,0.416201
2.4796e+09,0.4246554
2.484e+09,0.534261
2.4884e+09,0.6478092
2.4928e+09,0.7194429
2.4972e+09,0.6972116
2.5016e+09,0.6193643
2.506e+09,0.5249103
2.5104e+09,0.4893805
2.5148e+09,0.4709308
2.5192e+09,0.4793097
2.5236e+09,0.4944561
2.528e+09,0.5105695
2.5324e+09,0.494295
2.5368e+09,0.4685037
2.5412e+09,0.4741534
2.5456e+09,0.4675369
