Frequency,Power
2.25e+09,0.3609879
2.253e+09,0.3779068
2.256e+09,0.3634048
2.259e+09,0.3835464
2.262e+09,0.3714615
2.265e+09,0.3674332
2.268e+09,0.3658218
2.271e+09,0.3650162
2.274e+09,0.3867691
2.277e+09,0.3553482
2.28e+09,0.3585708
2.283e+09,0.3513199
2.286e+09,0.3682388
2.289e+09,0.3746841
2.292e+09,0.3779068
2.295e+09,0.3730728
2.298e+09,0.3609879
2.301e+09,0.3899918
2.304e+09,0.3891861
2.307e+09,0.3932144
2.31e+09,0.3843521
2.313e+09,0.3859634
2.316e+09,0.3972427
2.319e+09,0.3948257
2.322e+09,0.3642105
2.325e+09,0.3940201
2.328e+09,0.3698502
2.331e+09,0.3714615
2.334e+09,0.3569595
2.337e+09,0.3650162
2.34e+09,0.3650162
2.343e+09,0.3634048
2.346e+09,0.3593765
2.349e+09,0.3545425
2.352e+09,0.3714615
2.355e+09,0.3561539
2.358e+09,0.3601822
2.361e+09,0.3561539
2.364e+09,0.3650162
2.367e+09,0.3634048
2.37e+09,0.3593765
2.373e+09,0.3601822
2.376e+09,0.3682388
2.379e+09,0.3722672
2.382e+09,0.3561539
2.385e+09,0.3666275
2.388e+09,0.3714615
2.391e+09,0.3666275
2.394e+09,0.3722672
2.397e+09,0.3722672
2.4e+09,0.3569595
2.403e+09,0.3811295
2.406e+09,0.3762955
2.409e+09,0.3698502
2.412e+09,0.3730728
2.415e+09,0.3779068
2.418e+09,0.3754898
2.421e+09,0.3609879
2.424e+09,0.3827408
2.427e+09,0.3859634
2.43e+09,0.3907974
2.433e+09,0.3972427
2.436e+09,0.3956314
2.439e+09,0.4158234
2.442e+09,0.4319366
2.445e+09,0.4117447
2.448e+09,0.4923615
2.451e+09,0.403688
2.454e+09,0.4923615
2.457e+09,0.3956314
2.46e+09,0.3730728
2.463e+09,0.3730728
2.466e+09,0.414212
2.469e+09,0.3746841
2.472e+09,0.3899918
2.475e+09,0.3827408
2.478e+09,0.3634048
2.481e+09,0.3859634
2.484e+09,0.3916031
2.487e+09,0.4069107
2.49e+09,0.3883804
2.493e+09,0.4424103
2.496e+09,0.4480499
2.499e+09,0.4327423
2.502e+09,0.426297
2.505e+09,0.4206573
2.508e+09,0.4117447
2.511e+09,0.4117447
2.514e+09,0.4279083
2.517e+09,0.4150177
2.52e+09,0.419046
2.523e+09,0.4117447
2.526e+09,0.4117447
2.529e+09,0.4222687
2.532e+09,0.4117447
2.535e+09,0.4230743
2.538e+09,0.4069107
2.541e+09,0.42388
2.544e+09,0.4198517
2.547e+09,0.408522
