Frequency,Power
2.11e+09,0.3704947
2.1101e+09,0.3687222
2.1102e+09,0.3742007
2.1103e+09,0.3779068
2.1104e+09,0.374523
2.1105e+09,0.3775845
2.1106e+09,0.3732339
2.1107e+09,0.3758121
2.1108e+09,0.3737173
2.1109e+09,0.3729117
2.111e+09,0.3767789
2.1111e+09,0.3651773
2.1112e+09,0.3714614
2.1113e+09,0.3685611
2.1114e+09,0.3724283
2.1115e+09,0.3727505
2.1116e+09,0.3637271
2.1117e+09,0.3667886
2.1118e+09,0.3650162
2.1119e+09,0.3613101
2.112e+09,0.365983
2.1121e+09,0.363566
2.1122e+09,0.3775845
2.1123e+09,0.3751676
2.1124e+09,0.3661441
2.1125e+09,0.3650162
2.1126e+09,0.3730728
2.1127e+09,0.3664664
2.1128e+09,0.3679166
2.1129e+09,0.3754898
2.113e+09,0.3748453
2.1131e+09,0.3622769
2.1132e+09,0.3706558
2.1133e+09,0.3685611
2.1134e+09,0.367272
2.1135e+09,0.3650162
2.1136e+09,0.3695279
2.1137e+09,0.3666275
2.1138e+09,0.3687222
2.1139e+09,0.3708169
2.114e+09,0.3658218
2.1141e+09,0.3777457
2.1142e+09,0.3661441
2.1143e+09,0.3740396
2.1144e+09,0.3658218
2.1145e+09,0.3637271
2.1146e+09,0.3732339
2.1147e+09,0.3622769
2.1148e+09,0.3724283
2.1149e+09,0.3735562
2.115e+09,0.3858023
2.1151e+09,0.3708169
2.1152e+09,0.3829019
2.1153e+09,0.3804849
2.1154e+09,0.3738785
2.1155e+09,0.3711392
2.1156e+09,0.380646
2.1157e+09,0.3717837
2.1158e+09,0.3858023
2.1159e+09,0.3669497
2.116e+09,0.3783902
2.1161e+09,0.3701724
2.1162e+09,0.370817
2.1163e+09,0.3812906
2.1164e+09,0.3700113
2.1165e+09,0.3790347
2.1166e+09,0.3733951
2.1167e+09,0.3775845
2.1168e+09,0.3754898
2.1169e+09,0.3727505
2.117e+09,0.3870914
2.1171e+09,0.3713003
2.1172e+09,0.3809683
2.1173e+09,0.3756509
2.1174e+09,0.3829019
2.1175e+09,0.3758121
2.1176e+09,0.3838687
2.1177e+09,0.387897
2.1178e+09,0.3772623
2.1179e+09,0.3735562
2.118e+09,0.3803238
2.1181e+09,0.3764565
2.1182e+09,0.3725894
2.1183e+09,0.3746841
2.1184e+09,0.3732339
2.1185e+09,0.3791959
2.1186e+09,0.3746841
2.1187e+09,0.3801627
2.1188e+09,0.3713003
2.1189e+09,0.3735562
2.119e+09,0.3764566
2.1191e+09,0.3779068
2.1192e+09,0.3692056
2.1193e+09,0.3774234
2.1194e+09,0.3809683
