Frequency,Power
2.11e+09,0.3666275
2.111e+09,0.3632437
2.112e+09,0.3601822
2.113e+09,0.3742007
2.114e+09,0.3706558
2.115e+09,0.3730728
2.116e+09,0.3775845
2.117e+09,0.3748453
2.118e+09,0.3812906
2.119e+09,0.3722671
2.12e+09,0.3754898
2.121e+09,0.3766177
2.122e+09,0.3787125
2.123e+09,0.3788736
2.124e+09,0.3811295
2.125e+09,0.3798404
2.126e+09,0.3756509
2.127e+09,0.374523
2.128e+09,0.372106
2.129e+09,0.3766177
2.13e+09,0.3711392
2.131e+09,0.3803238
2.132e+09,0.3861246
2.133e+09,0.3733951
2.134e+09,0.3735562
2.135e+09,0.3785513
2.136e+09,0.384191
2.137e+09,0.3803238
2.138e+09,0.3698501
2.139e+09,0.3801627
2.14e+09,0.3754898
2.141e+09,0.378229
2.142e+09,0.3771011
2.143e+09,0.3771011
2.144e+09,0.3787125
2.145e+09,0.3780679
2.146e+09,0.3708169
2.147e+09,0.3804849
2.148e+09,0.3746841
2.149e+09,0.3719449
2.15e+09,0.3725894
2.151e+09,0.369689
2.152e+09,0.3687222
2.153e+09,0.3727505
2.154e+09,0.3740396
2.155e+09,0.3783902
2.156e+09,0.3664664
2.157e+09,0.3683999
2.158e+09,0.3756509
2.159e+09,0.3759732
2.16e+09,0.3750064
2.161e+09,0.3730728
2.162e+09,0.3621158
2.163e+09,0.3709781
2.164e+09,0.3785513
2.165e+09,0.378229
2.166e+09,0.3663053
2.167e+09,0.3663053
2.168e+09,0.3811295
2.169e+09,0.3651773
2.17e+09,0.3692056
2.171e+09,0.3642105
2.172e+09,0.3679166
2.173e+09,0.3750064
2.174e+09,0.379357
2.175e+09,0.3827408
2.176e+09,0.3714614
2.177e+09,0.3724283
2.178e+09,0.3716226
2.179e+09,0.3706558
2.18e+09,0.3640494
2.181e+09,0.3791959
2.182e+09,0.3740396
2.183e+09,0.3733951
2.184e+09,0.3737174
2.185e+09,0.3685611
2.186e+09,0.3680777
2.187e+09,0.3661441
2.188e+09,0.3682388
2.189e+09,0.3629214
2.19e+09,0.3733951
2.191e+09,0.3695279
2.192e+09,0.3664663
2.193e+09,0.3638883
2.194e+09,0.3767788
2.195e+09,0.3630826
2.196e+09,0.3695279
2.197e+09,0.3803238
2.198e+09,0.3640494
2.199e+09,0.3701724
2.2e+09,0.3719449
2.201e+09,0.3762955
2.202e+09,0.3729117
2.203e+09,0.3774234
2.204e+09,0.3685611
2.205e+09,0.3684
2.206e+09,0.3771011
2.207e+09,0.3714615
2.208e+09,0.367272
2.209e+09,0.3791959
2.21e+09,0.3785513
2.211e+09,0.3703336
2.212e+09,0.37694
2.213e+09,0.3637271
2.214e+09,0.3698501
2.215e+09,0.374523
2.216e+09,0.3692056
2.217e+09,0.3716226
2.218e+09,0.3735562
2.219e+09,0.3717837
2.22e+09,0.3664664
2.221e+09,0.3774234
2.222e+09,0.3754898
2.223e+09,0.3732339
2.224e+09,0.3748453
2.225e+09,0.3695279
2.226e+09,0.3767788
2.227e+09,0.3698501
2.228e+09,0.3759732
2.229e+09,0.3809683
2.23e+09,0.3709781
2.231e+09,0.3775845
2.232e+09,0.3732339
2.233e+09,0.369689
2.234e+09,0.3666275
2.235e+09,0.3753287
2.236e+09,0.3727505
2.237e+09,0.3737173
2.238e+09,0.3724283
2.239e+09,0.3762955
2.24e+09,0.3706558
2.241e+09,0.3791959
2.242e+09,0.3733951
2.243e+09,0.3601822
2.244e+09,0.3651773
2.245e+09,0.3767789
2.246e+09,0.3762954
2.247e+09,0.379357
2.248e+09,0.3753286
2.249e+09,0.3756509
2.25e+09,0.3695279
2.251e+09,0.3762955
2.252e+09,0.3629214
2.253e+09,0.3812906
2.254e+09,0.3814517
2.255e+09,0.3753287
2.256e+09,0.3748453
2.257e+09,0.3654995
2.258e+09,0.3685611
2.259e+09,0.3754898
2.26e+09,0.3785513
2.261e+09,0.3758121
2.262e+09,0.3701724
2.263e+09,0.3733951
2.264e+09,0.3775845
2.265e+09,0.3737174
2.266e+09,0.3754898
2.267e+09,0.3809683
2.268e+09,0.3732339
2.269e+09,0.3742007
2.27e+09,0.3756509
2.271e+09,0.3772623
2.272e+09,0.3764565
2.273e+09,0.3753287
2.274e+09,0.3719449
2.275e+09,0.3800015
2.276e+09,0.3684
2.277e+09,0.3690445
2.278e+09,0.3661441
2.279e+09,0.3803238
2.28e+09,0.3654995
2.281e+09,0.374523
2.282e+09,0.3758121
2.283e+09,0.3845132
2.284e+09,0.3804849
2.285e+09,0.3677554
2.286e+09,0.3780679
2.287e+09,0.3634048
2.288e+09,0.3674332
2.289e+09,0.3713003
2.29e+09,0.369689
2.291e+09,0.37694
2.292e+09,0.3719449
2.293e+09,0.3687222
2.294e+09,0.3775845
2.295e+09,0.3645328
2.296e+09,0.3756509
2.297e+09,0.3766177
2.298e+09,0.3820962
2.299e+09,0.3753287
2.3e+09,0.3695279
2.301e+09,0.3750064
2.302e+09,0.3724283
2.303e+09,0.3808072
2.304e+09,0.3766177
2.305e+09,0.3780679
2.306e+09,0.3756509
2.307e+09,0.3767788
2.308e+09,0.3724283
2.309e+09,0.3688834
2.31e+09,0.3711392
2.311e+09,0.3701724
2.312e+09,0.3816128
2.313e+09,0.380646
2.314e+09,0.3787125
2.315e+09,0.3742008
2.316e+09,0.3700113
2.317e+09,0.3693667
2.318e+09,0.3719449
2.319e+09,0.3717838
2.32e+09,0.3733951
2.321e+09,0.378229
2.322e+09,0.3695279
2.323e+09,0.3740396
2.324e+09,0.3716226
2.325e+09,0.3725894
2.326e+09,0.3711392
2.327e+09,0.3756509
2.328e+09,0.3746841
2.329e+09,0.3713003
2.33e+09,0.3690445
2.331e+09,0.3677555
2.332e+09,0.3735562
2.333e+09,0.3754898
2.334e+09,0.3754898
2.335e+09,0.3780679
2.336e+09,0.3709781
2.337e+09,0.3717837
2.338e+09,0.3788736
2.339e+09,0.3722672
2.34e+09,0.3750064
2.341e+09,0.3674331
2.342e+09,0.3727505
2.343e+09,0.3750064
2.344e+09,0.3777457
2.345e+09,0.374523
2.346e+09,0.3751675
2.347e+09,0.3750064
2.348e+09,0.3680777
2.349e+09,0.3732339
2.35e+09,0.3766177
2.351e+09,0.3621158
2.352e+09,0.3785513
2.353e+09,0.3750064
2.354e+09,0.3746841
2.355e+09,0.3682388
2.356e+09,0.3764566
2.357e+09,0.3675943
2.358e+09,0.3740396
2.359e+09,0.3803238
2.36e+09,0.3717837
2.361e+09,0.3774234
2.362e+09,0.3725894
2.363e+09,0.3695279
2.364e+09,0.3719449
2.365e+09,0.3785513
2.366e+09,0.3716226
2.367e+09,0.3804849
