Frequency,Power
2.35e+09,-40.33356
2.35176e+09,-40.2475
2.35352e+09,-40.13274
2.35528e+09,-40.33356
2.35704e+09,-40.10405
2.3588e+09,-40.04667
2.36056e+09,-40.04667
2.36232e+09,-40.27619
2.36408e+09,-40.04667
2.36584e+09,-40.50571
2.3676e+09,-40.47701
2.36936e+09,-40.21881
2.37112e+09,-40.33356
2.37288e+09,-40.36226
2.37464e+09,-40.56308
2.3764e+09,-40.13274
2.37816e+09,-40.59177
2.37992e+09,-40.44833
2.38168e+09,-40.30488
2.38344e+09,-40.47701
2.3852e+09,-40.47701
2.38696e+09,-40.50571
2.38872e+09,-40.13274
2.39048e+09,-40.44833
2.39224e+09,-40.41964
2.394e+09,-40.41964
2.39576e+09,-40.47701
2.39752e+09,-40.50571
2.39928e+09,-40.33356
2.40104e+09,-40.36226
2.4028e+09,-40.16143
2.40456e+09,-40.59177
2.40632e+09,-40.30488
2.40808e+09,-40.13274
2.40984e+09,-40.10405
2.4116e+09,-40.33356
2.41336e+09,-40.47701
2.41512e+09,-40.10405
2.41688e+09,-40.2475
2.41864e+09,-40.21881
2.4204e+09,-40.21881
2.42216e+09,-40.53439
2.42392e+09,-40.19012
2.42568e+09,-40.50571
2.42744e+09,-40.27619
2.4292e+09,-40.04667
2.43096e+09,-40.62046
2.43272e+09,-40.27619
2.43448e+09,-40.50571
2.43624e+09,-40.21881
2.438e+09,-40.59177
2.43976e+09,-40.47701
2.44152e+09,-40.47701
2.44328e+09,-40.39095
2.44504e+09,-40.39095
2.4468e+09,-40.39095
2.44856e+09,-40.21881
2.45032e+09,-39.93191
2.45208e+09,-39.9606
2.45384e+09,-39.90322
2.4556e+09,-39.78846
2.45736e+09,-40.04667
2.45912e+09,-39.98929
2.46088e+09,-39.90322
2.46264e+09,-39.53025
2.4644e+09,-39.04253
2.46616e+09,-39.04253
2.46792e+09,-38.72515
2.46968e+09,-38.78253
2.47144e+09,-38.81122
2.4732e+09,-38.75384
2.47496e+09,-38.15136
2.47672e+09,-37.83577
2.47848e+09,-36.17177
2.48024e+09,-34.47908
2.482e+09,-30.37466
2.48376e+09,-31.29273
2.48552e+09,-36.45866
2.48728e+09,-38.2948
2.48904e+09,-39.21467
2.4908e+09,-39.58764
2.49256e+09,-39.73108
2.49432e+09,-39.81715
2.49608e+09,-40.16143
2.49784e+09,-40.39095
2.4996e+09,-40.41964
2.50136e+09,-40.39095
2.50312e+09,-40.16143
2.50488e+09,-40.36226
2.50664e+09,-40.39095
2.5084e+09,-40.01798
2.51016e+09,-40.41964
2.51192e+09,-40.39095
2.51368e+09,-40.04667
2.51544e+09,-40.13274
2.5172e+09,-40.2475
2.51896e+09,-39.9606
2.52072e+09,-40.13274
2.52248e+09,-40.01798
2.52424e+09,-39.75977
2.526e+09,-40.44833
2.52776e+09,-40.44833
2.52952e+09,-40.39095
2.53128e+09,-40.50571
2.53304e+09,-40.50571
2.5348e+09,-40.04667
2.53656e+09,-40.56308
2.53832e+09,-40.16143
2.54008e+09,-40.30488
2.54184e+09,-40.13274
2.5436e+09,-40.33356
2.54536e+09,-40.19012
