Frequency,Power
2.11e+09,0.3729117
2.111e+09,0.3843522
2.112e+09,0.3827408
2.113e+09,0.3816934
2.114e+09,0.3738785
2.115e+09,0.3833853
2.116e+09,0.3821768
2.117e+09,0.3862051
2.118e+09,0.3820157
2.119e+09,0.3826602
2.12e+09,0.3849966
2.121e+09,0.3832242
2.122e+09,0.3866079
2.123e+09,0.3822574
2.124e+09,0.3786319
2.125e+09,0.3831436
2.126e+09,0.3845938
2.127e+09,0.3865274
2.128e+09,0.383063
2.129e+09,0.3850772
2.13e+09,0.3825796
2.131e+09,0.3808877
2.132e+09,0.3780679
2.133e+09,0.3828214
2.134e+09,0.3781485
2.135e+09,0.382338
2.136e+09,0.3808877
2.137e+09,0.3840299
2.138e+09,0.3892667
2.139e+09,0.378793
2.14e+09,0.3814517
2.141e+09,0.3831436
2.142e+09,0.3776651
2.143e+09,0.3824185
2.144e+09,0.3795181
2.145e+09,0.3847549
2.146e+09,0.3844327
2.147e+09,0.3774234
2.148e+09,0.3845938
2.149e+09,0.3840298
2.15e+09,0.3827408
2.151e+09,0.3841155
2.152e+09,0.3920865
2.153e+09,0.3772623
2.154e+09,0.3833853
2.155e+09,0.3816934
2.156e+09,0.3847549
2.157e+09,0.3842716
2.158e+09,0.3841104
2.159e+09,0.3843521
2.16e+09,0.3889444
2.161e+09,0.3812906
2.162e+09,0.3784708
2.163e+09,0.38548
2.164e+09,0.3788736
2.165e+09,0.3792764
2.166e+09,0.3851578
2.167e+09,0.3786319
2.168e+09,0.3820157
2.169e+09,0.3829019
2.17e+09,0.3848355
2.171e+09,0.380646
2.172e+09,0.38121
2.173e+09,0.3746841
2.174e+09,0.3773428
2.175e+09,0.3771817
2.176e+09,0.3801627
2.177e+09,0.3848355
2.178e+09,0.3829019
2.179e+09,0.3806461
2.18e+09,0.3738785
2.181e+09,0.3804849
2.182e+09,0.3840298
2.183e+09,0.3703336
2.184e+09,0.3789542
2.185e+09,0.3810489
2.186e+09,0.3785513
2.187e+09,0.3812906
2.188e+09,0.3805655
2.189e+09,0.379921
2.19e+09,0.3789541
2.191e+09,0.3765372
2.192e+09,0.3826602
2.193e+09,0.3804849
2.194e+09,0.3708975
2.195e+09,0.3808072
2.196e+09,0.3759732
2.197e+09,0.3766983
2.198e+09,0.3821768
2.199e+09,0.3795181
2.2e+09,0.3832242
2.201e+09,0.3746036
2.202e+09,0.3818546
2.203e+09,0.3882998
2.204e+09,0.3754898
2.205e+09,0.3712198
2.206e+09,0.3776651
2.207e+09,0.3797598
2.208e+09,0.37694
2.209e+09,0.3761343
2.21e+09,0.3800015
2.211e+09,0.3777457
2.212e+09,0.3776651
2.213e+09,0.3719449
2.214e+09,0.3795181
2.215e+09,0.3780679
2.216e+09,0.3829019
2.217e+09,0.3813711
2.218e+09,0.3831436
2.219e+09,0.379921
2.22e+09,0.3762149
2.221e+09,0.370253
2.222e+09,0.3717032
2.223e+09,0.3760538
2.224e+09,0.3799209
2.225e+09,0.3813711
2.226e+09,0.3752481
2.227e+09,0.3820962
2.228e+09,0.3837882
2.229e+09,0.3825797
2.23e+09,0.3886221
2.231e+09,0.4051584
2.232e+09,0.3858829
2.233e+09,0.383627
2.234e+09,0.3785513
2.235e+09,0.3741202
2.236e+09,0.3760538
2.237e+09,0.3754898
2.238e+09,0.3757315
2.239e+09,0.3857217
2.24e+09,0.3754898
2.241e+09,0.3781485
2.242e+09,0.3815323
2.243e+09,0.3833853
2.244e+09,0.3816129
2.245e+09,0.3828213
2.246e+09,0.3870108
2.247e+09,0.3775846
2.248e+09,0.3835464
2.249e+09,0.3853189
2.25e+09,0.3804849
2.251e+09,0.3798404
2.252e+09,0.3789542
2.253e+09,0.3792765
2.254e+09,0.3818545
2.255e+09,0.3887832
2.256e+09,0.3842716
2.257e+09,0.3811295
2.258e+09,0.3840299
2.259e+09,0.3869302
2.26e+09,0.3848355
2.261e+09,0.3827408
2.262e+09,0.3766177
2.263e+09,0.3798404
2.264e+09,0.3820157
2.265e+09,0.3966083
2.266e+09,0.3831436
2.267e+09,0.3933755
2.268e+09,0.3816934
2.269e+09,0.3853995
2.27e+09,0.3805655
2.271e+09,0.3802432
2.272e+09,0.3837932
2.273e+09,0.382338
2.274e+09,0.3804849
2.275e+09,0.3818546
2.276e+09,0.3761343
2.277e+09,0.3848355
2.278e+09,0.3738785
2.279e+09,0.3787125
2.28e+09,0.3847549
2.281e+09,0.3808072
2.282e+09,0.3761343
2.283e+09,0.3727505
2.284e+09,0.3961148
2.285e+09,0.3932195
2.286e+09,0.3804044
2.287e+09,0.3816934
2.288e+09,0.3853995
2.289e+09,0.3889444
2.29e+09,0.3775846
2.291e+09,0.3699307
2.292e+09,0.3864468
2.293e+09,0.3783096
2.294e+09,0.3838687
2.295e+09,0.3770206
2.296e+09,0.3742007
2.297e+09,0.3819351
2.298e+09,0.383627
2.299e+09,0.3788736
2.3e+09,0.3804044
2.301e+09,0.3761343
2.302e+09,0.3830631
2.303e+09,0.3808877
2.304e+09,0.3818545
2.305e+09,0.3789542
2.306e+09,0.3819351
2.307e+09,0.3772623
2.308e+09,0.3774234
2.309e+09,0.3801626
2.31e+09,0.3808072
2.311e+09,0.3788736
2.312e+09,0.3853995
2.313e+09,0.3858829
2.314e+09,0.3863663
2.315e+09,0.3762954
2.316e+09,0.3791153
2.317e+09,0.3776651
2.318e+09,0.3751676
2.319e+09,0.3737979
2.32e+09,0.3725089
2.321e+09,0.3928217
2.322e+09,0.3782291
2.323e+09,0.3783902
2.324e+09,0.3833853
2.325e+09,0.3814517
2.326e+09,0.3794375
2.327e+09,0.3787125
2.328e+09,0.3752481
2.329e+09,0.3816128
2.33e+09,0.3760538
2.331e+09,0.3764566
2.332e+09,0.3805655
2.333e+09,0.3780679
2.334e+09,0.3805655
2.335e+09,0.3834659
2.336e+09,0.3841104
2.337e+09,0.3848355
2.338e+09,0.3763761
2.339e+09,0.3846744
2.34e+09,0.3849966
2.341e+09,0.3808072
2.342e+09,0.3839493
2.343e+09,0.3829019
2.344e+09,0.3774234
2.345e+09,0.3845938
2.346e+09,0.3892667
2.347e+09,0.3758926
2.348e+09,0.3804044
2.349e+09,0.3845132
2.35e+09,0.3814517
2.351e+09,0.3776651
2.352e+09,0.3824185
2.353e+09,0.3875748
2.354e+09,0.3764566
2.355e+09,0.3791959
2.356e+09,0.3675943
2.357e+09,0.3816129
2.358e+09,0.3858023
2.359e+09,0.3791153
2.36e+09,0.3788736
2.361e+09,0.37267
2.362e+09,0.3832242
2.363e+09,0.3778262
2.364e+09,0.3723477
2.365e+09,0.374523
2.366e+09,0.380646
2.367e+09,0.3730728
2.368e+09,0.3843521
2.369e+09,0.3801627
2.37e+09,0.3774234
2.371e+09,0.383627
2.372e+09,0.3717032
2.373e+09,0.3760538
2.374e+09,0.3768594
2.375e+09,0.3754898
2.376e+09,0.3749259
2.377e+09,0.3758926
2.378e+09,0.3779068
2.379e+09,0.3733145
2.38e+09,0.3741202
2.381e+09,0.3708975
2.382e+09,0.3727505
2.383e+09,0.3742813
