Frequency,Power
2.11e+09,-21.99547
2.1122e+09,-28.33769
2.1144e+09,-27.21879
2.1166e+09,-28.05079
2.1188e+09,-19.15519
2.121e+09,-20.36016
2.1232e+09,-20.41754
2.1254e+09,-19.29864
2.1276e+09,-20.2454
2.1298e+09,-19.4134
2.132e+09,-20.50361
2.1342e+09,-20.70443
2.1364e+09,-20.90526
2.1386e+09,-20.87657
2.1408e+09,-20.81919
2.143e+09,-20.10195
2.1452e+09,-21.22085
2.1474e+09,-20.61837
2.1496e+09,-20.10195
2.1518e+09,-20.84788
2.154e+09,-21.39299
2.1562e+09,-21.45037
2.1584e+09,-21.30692
2.1606e+09,-20.44623
2.1628e+09,-20.70443
2.165e+09,-21.76595
2.1672e+09,-21.24954
2.1694e+09,-21.76595
2.1716e+09,-21.30692
2.1738e+09,-21.9094
2.176e+09,-21.59381
2.1782e+09,-22.08154
2.1804e+09,-21.70857
2.1826e+09,-22.77009
2.1848e+09,-21.70857
2.187e+09,-22.54058
2.1892e+09,-22.59795
2.1914e+09,-21.45037
2.1936e+09,-21.79464
2.1958e+09,-22.13892
2.198e+09,-21.3643
2.2002e+09,-21.02002
2.2024e+09,-21.16347
2.2046e+09,-21.82333
2.2068e+09,-21.85202
2.209e+09,-21.45037
2.2112e+09,-21.24954
2.2134e+09,-21.19216
2.2156e+09,-21.47906
2.2178e+09,-21.73726
2.22e+09,-21.88071
2.2222e+09,-21.47906
2.2244e+09,-21.59381
2.2266e+09,-21.93809
2.2288e+09,-21.99547
2.231e+09,-22.05285
2.2332e+09,-22.59795
2.2354e+09,-22.11023
2.2376e+09,-22.85616
2.2398e+09,-22.79878
2.242e+09,-22.28237
2.2442e+09,-23.37258
2.2464e+09,-22.36844
2.2486e+09,-22.82747
2.2508e+09,-22.71271
2.253e+09,-23.22913
2.2552e+09,-22.39713
2.2574e+09,-22.97092
2.2596e+09,-22.39713
2.2618e+09,-23.05699
2.264e+09,-22.1963
2.2662e+09,-23.28651
2.2684e+09,-22.22499
2.2706e+09,-22.1963
2.2728e+09,-22.1963
2.275e+09,-23.05699
2.2772e+09,-23.25782
2.2794e+09,-23.28651
2.2816e+09,-23.3152
2.2838e+09,-22.56927
2.286e+09,-23.71685
2.2882e+09,-23.80292
2.2904e+09,-23.3152
2.2926e+09,-23.0283
2.2948e+09,-23.3152
2.297e+09,-23.51603
2.2992e+09,-24.23506
2.3014e+09,-24.66541
2.3036e+09,-24.55065
2.3058e+09,-24.20458
2.308e+09,-24.23506
2.3102e+09,-24.43589
2.3124e+09,-24.66541
2.3146e+09,-24.78016
2.3168e+09,-25.35396
2.319e+09,-24.52196
2.3212e+09,-25.06706
2.3234e+09,-25.26789
2.3256e+09,-25.66954
2.3278e+09,-25.58348
2.33e+09,-25.00968
2.3322e+09,-24.75148
2.3344e+09,-25.03837
2.3366e+09,-25.18182
2.3388e+09,-25.69823
2.341e+09,-24.98099
2.3432e+09,-25.46872
2.3454e+09,-24.80885
2.3476e+09,-24.80885
2.3498e+09,-25.55479
2.352e+09,-25.5261
2.3542e+09,-25.29658
2.3564e+09,-24.49327
2.3586e+09,-24.6941
2.3608e+09,-24.57934
2.363e+09,-24.98099
2.3652e+09,-25.66954
2.3674e+09,-25.06706
2.3696e+09,-25.49741
2.3718e+09,-24.80885
2.374e+09,-25.92775
2.3762e+09,-25.26789
2.3784e+09,-25.03837
2.3806e+09,-26.04251
2.3828e+09,-25.78431
2.385e+09,-25.5261
2.3872e+09,-25.98513
2.3894e+09,-26.27203
2.3916e+09,-25.81299
2.3938e+09,-26.0712
2.396e+09,-25.64086
2.3982e+09,-26.12858
2.4004e+09,-26.04251
2.4026e+09,-25.84168
2.4048e+09,-26.67368
2.407e+09,-25.84168
2.4092e+09,-25.92775
2.4114e+09,-26.50155
2.4136e+09,-26.01382
2.4158e+09,-25.66954
2.418e+09,-25.72692
2.4202e+09,-25.92775
2.4224e+09,-25.44003
2.4246e+09,-26.04251
2.4268e+09,-26.04251
2.429e+09,-25.03837
2.4312e+09,-25.35396
2.4334e+09,-25.32527
2.4356e+09,-24.89492
2.4378e+09,-24.89492
2.44e+09,-25.15313
2.4422e+09,-25.06706
2.4444e+09,-25.46872
2.4466e+09,-24.92361
2.4488e+09,-24.49327
2.451e+09,-24.6941
2.4532e+09,-24.98099
2.4554e+09,-25.61217
2.4576e+09,-24.86623
2.4598e+09,-25.84168
2.462e+09,-26.15727
2.4642e+09,-25.44003
2.4664e+09,-25.84168
2.4686e+09,-26.47286
2.4708e+09,-26.27203
2.473e+09,-26.27203
2.4752e+09,-26.3581
2.4774e+09,-26.81713
2.4796e+09,-27.30486
2.4818e+09,-26.70237
2.484e+09,-27.41962
2.4862e+09,-26.70237
2.4884e+09,-27.1901
2.4906e+09,-26.96058
2.4928e+09,-27.30486
2.495e+09,-27.13272
2.4972e+09,-27.30486
2.4994e+09,-26.67368
2.5016e+09,-27.04665
2.5038e+09,-27.13272
2.506e+09,-27.36224
2.5082e+09,-26.81713
2.5104e+09,-26.96058
2.5126e+09,-27.36224
2.5148e+09,-27.56306
2.517e+09,-26.87451
2.5192e+09,-26.87451
2.5214e+09,-27.01796
2.5236e+09,-27.04665
2.5258e+09,-27.87865
2.528e+09,-27.41962
2.5302e+09,-28.33769
2.5324e+09,-28.33769
2.5346e+09,-27.62045
2.5368e+09,-28.5672
2.539e+09,-27.79258
2.5412e+09,-28.45245
2.5434e+09,-27.33355
2.5456e+09,-28.39507
